jd,latitude_deg,longitude_deg
2460482.91805556,-5.0513,121.2973
2460482.91875000,-8.1168,123.5006
2460482.91944444,-11.1666,125.7411
2460482.92013889,-14.1946,128.0337
2460482.92083333,-17.1938,130.3941
2460482.92152778,-20.1571,132.8390
2460482.92222222,-23.0762,135.3863
2460482.92291667,-25.9423,138.0553
2460482.92361111,-28.7452,140.8668
2460482.92430556,-31.4736,143.8431
2460482.92500000,-34.1145,147.0082
2460482.92569444,-36.6531,150.3870
2460482.92638889,-39.0725,154.0052
2460482.92708333,-41.3537,157.8875
2460482.92777778,-43.4750,162.0567
2460482.92847222,-45.4128,166.5305
2460482.92916667,-47.1414,171.3187
2460482.92986111,-48.6339,176.4191
2460482.93055556,-49.8635,-178.1863
2460482.93125000,-50.8053,-172.5344
2460482.93194444,-51.4378,-166.6822
2460482.93263889,-51.7456,-160.7045
2460482.93333333,-51.7209,-154.6885
2460482.93402778,-51.3645,-148.7254
2460482.93472222,-50.6856,-142.9010
2460482.93541667,-49.7007,-137.2874
2460482.93611111,-48.4320,-131.9386
2460482.93680556,-46.9050,-126.8882
2460482.93750000,-45.1468,-122.1515
2460482.93819444,-43.1839,-117.7285
2460482.93888889,-41.0419,-113.6080
2460482.93958333,-38.7442,-109.7710
2460482.94027778,-36.3119,-106.1947
2460482.94097222,-33.7637,-102.8538
2460482.94166667,-31.1160,-99.7228
2460482.94236111,-28.3835,-96.7769
2460482.94305556,-25.5786,-93.9925
2460482.94375000,-22.7127,-91.3475
2460482.94444444,-19.7954,-88.8214
2460482.94513889,-16.8355,-86.3950
2460482.94583333,-13.8410,-84.0508
2460482.94652778,-10.8189,-81.7723
2460482.94722222,-7.7759,-79.5440
2460482.94791667,-4.7182,-77.3512
2460482.94861111,-1.6517,-75.1796
2460482.94930556,1.4178,-73.0154
2460482.95000000,4.4847,-70.8448
2460482.95069444,7.5433,-68.6541
2460482.95138889,10.5876,-66.4291
2460482.95208333,13.6114,-64.1550
2460482.95277778,16.6082,-61.8165
2460482.95347222,19.5708,-59.3971
2460482.95416667,22.4915,-56.8793
2460482.95486111,25.3616,-54.2442
2460482.95555556,28.1714,-51.4714
2460482.95625000,30.9097,-48.5389
2460482.95694444,33.5642,-45.4231
2460482.95763889,36.1204,-42.0994
2460482.95833333,38.5621,-38.5423
2460482.95902778,40.8707,-34.7265
2460482.95972222,43.0253,-30.6288
2460482.96041667,45.0027,-26.2300
2460482.96111111,46.7775,-21.5180
2460482.96180556,48.3231,-16.4919
2460482.96250000,49.6125,-11.1656
2460482.96319444,50.6201,-5.5714
2460482.96388889,51.3233,0.2386
2460482.96458333,51.7051,6.1934
2460482.96527778,51.7556,12.2079
2460482.96597222,51.4734,18.1913
2460482.96666667,50.8657,24.0556
2460482.96736111,49.9474,29.7249
2460482.96805556,48.7394,35.1406
2460482.96875000,47.2666,40.2643
2460482.96944444,45.5556,45.0767
2460482.97013889,43.6333,49.5745
2460482.97083333,41.5256,53.7666
2460482.97152778,39.2564,57.6703
2460482.97222222,36.8472,61.3080
2460482.97291667,34.3175,64.7045
2460482.97361111,31.6842,67.8852
2460482.97430556,28.9623,70.8753
2460482.97500000,26.1650,73.6987
2460482.97569444,23.3036,76.3780
2460482.97638889,20.3884,78.9340
2460482.97708333,17.4285,81.3862
2460482.97777778,14.4319,83.7525
2460482.97847222,11.4060,86.0499
2460482.97916667,8.3577,88.2939
2460482.97986111,5.2933,90.4996
2460482.98055556,2.2188,92.6813
2460482.98125000,-0.8599,94.8531
2460482.98194444,-3.9369,97.0287
2460482.98263889,-7.0066,99.2221
2460482.98333333,-10.0628,101.4475
2460482.98402778,-13.0995,103.7195
2460482.98472222,-16.1100,106.0534
2460482.98541667,-19.0871,108.4657
